tweet_id,favorite_count,retweet_count
892420643555336193,36949,7877
892177421306343426,31793,5848
891815181378084864,23954,3862
891689557279858688,40281,8047
891327558926688256,38485,8708
891087950875897856,19350,2899
890971913173991426,11279,1915
890729181411237888,62319,17591
890609185150312448,26625,3995
890240255349198849,30479,6848
890006608113172480,29353,6831
889880896479866881,26631,4647
889665388333682689,45933,9340
889638837579907072,25882,4195
889531135344209921,14461,2105
889278841981685760,24077,4983
888917238123831296,27825,4199
888804989199671297,24440,3970
888554962724278272,18905,3267
888078434458587136,20807,3231
887705289381826560,28869,5014
887517139158093824,44272,10947
887473957103951883,65818,16817
887343217045368832,32202,9748
887101392804085760,29232,5546
886983233522544640,33493,7151
886736880519319552,11484,3014
886680336477933568,21441,4155
886366144734445568,20216,2963
886267009285017600,115,4
886258384151887873,26729,5879
885984800019947520,31154,6293
885528943205470208,34376,5967
885518971528720385,19561,3479
885167619883638784,20945,4082
884925521741709313,73899,16894
884876753390489601,26643,5214
884562892145688576,23225,4382
884441805382717440,25846,5301
884247878851493888,69672,18980
884162670584377345,19490,2779
883838122936631299,20895,3216
883482846933004288,43888,9228
883360690899218434,21670,3454
883117836046086144,35500,6197
882992080364220416,22847,3637
882762694511734784,27046,4563
882627270321602560,26712,5654
882268110199369728,42912,10816
882045870035918850,28047,4575
881906580714921986,23260,3173
881666595344535552,48433,9966
881633300179243008,120,7
881536004380872706,47265,14909
881268444196462592,22177,4894
880935762899988482,16283,2605
880872448815771648,20361,3568
880465832366813184,27271,5817
880221127280381952,25814,3912
880095782870896641,26440,4044
879862464715927552,21374,3257
879674319642796034,300,10
879492040517615616,22452,2976
879415818425184262,101264,41486
879376492567855104,16089,2923
879050749262655488,21562,4365
879008229531029506,18162,2508
878776093423087618,18549,3829
878604707211726852,28879,6678
878281511006478336,7390,1203
878057613040115712,40265,6358
877736472329191424,76150,17789
877556246731214848,21745,3564
877316821321428993,26243,4849
877201837425926144,25954,5227
876838120628539392,19826,3120
876537666061221889,22589,4376
876484053909872640,17988,2227
876120275196170240,26774,4370
875747767867523072,24132,3994
875144289856114688,21020,4610
875097192612077568,26314,5694
875021211251597312,24424,4431
874680097055178752,26686,4348
874296783580663808,24976,3864
874057562936811520,21786,3723
874012996292530176,33050,9681
873580283840344065,23238,3699
873213775632977920,6899,1499
872967104147763200,26207,5097
872820683541237760,14144,3493
872620804844003328,19940,3443
872486979161796608,39141,8500
872122724285648897,33070,7648
871879754684805121,36324,10425
871762521631449091,19483,3284
871515927908634625,19413,3275
871102520638267392,20175,5209
871032628920680449,21878,3610
870804317367881728,32437,5868
870726314365509632,118,3
870656317836468226,11949,2496
870374049280663552,79916,25055
870308999962521604,21111,3937
870063196459192321,35330,7884
869772420881756160,41024,9577
869702957897576449,27278,6001
869596645499047938,15436,2983
869227993411051520,19746,3597
868880397819494401,63335,13732
868622495443632128,25851,5048
868552278524837888,9778,1975
867900495410671616,23456,3986
867774946302451713,32905,7004
867421006826221569,15618,2376
867051520902168576,31251,7523
866720684873056260,19451,4588
866686824827068416,18706,3318
866450705531457537,118721,33733
866334964761202691,50957,13696
865718153858494464,24928,5379
865359393868664832,25744,4788
865006731092295680,27246,7366
864873206498414592,31397,8358
864279568663928832,14196,2899
864197398364647424,29254,8527
863907417377173506,20063,3967
863553081350529029,14887,4023
863432100342583297,23226,5045
863427515083354112,2177,92
863079547188785154,8550,1064
863062471531167744,8268,2338
862831371563274240,18700,4959
862722525377298433,16668,3411
862457590147678208,19988,4762
862096992088072192,72704,22377
861383897657036800,35264,10341
861288531465048066,16813,3999
861005113778896900,16332,3691
860563773140209665,7352,2082
860524505164394496,23140,5137
860276583193509888,17968,3386
860184849394610176,16330,5664
859924526012018688,19180,3980
859851578198683649,15114,3399
859607811541651456,18235,1519
859196978902773760,88259,29288
859074603037188101,33265,13245
858843525470990336,15287,3406
858471635011153920,21127,4730
858107933456039936,15465,2841
857989990357356544,15854,2530
857746408056729600,33691,10366
857393404942143489,5802,1604
857263160327368704,19729,4410
857214891891077121,222,17
857029823797047296,18638,3917
856543823941562368,16081,2825
856526610513747968,11704,1841
856288084350160898,508,15
856282028240666624,27428,6176
855862651834028034,342,25
855860136149123072,4921,976
855857698524602368,11735,2079
855851453814013952,45096,17624
855818117272018944,26361,5333
855459453768019968,29589,8089
854732716440526848,22634,5980
854482394044301312,29080,6805
854365224396361728,18762,4635
854120357044912130,31796,7421
854010172552949760,16108,3121
853760880890318849,28462,5691
853639147608842240,34632,9997
853299958564483072,15447,3523
852912242202992640,9035,1812
852672615818899456,14878,2134
852553447878664193,16281,3471
852311364735569921,33086,9886
852226086759018497,19993,6817
852189679701164033,11451,1579
851591660324737024,16251,3466
