tweet_id,favorite_count,retweet_count,source,retweeted_status,url
819238181065359361,2361,420,Twitter Web Client,Original tweet,https://t.co/MefMAZX2uv
819227688460238848,23878,7004,Twitter for iPhone,Original tweet,https://t.co/ii5eNX5LJT
819015337530290176,0,38310,Twitter for iPhone,This is a retweet,This is a retweet
819015331746349057,0,19692,Twitter for iPhone,This is a retweet,This is a retweet
819006400881917954,46807,19692,Twitter for iPhone,Original tweet,https://t.co/YOC1fHFCSb
819004803107983360,89921,38310,Twitter for iPhone,Original tweet,https://t.co/AdPKrI8BZ1
818646164899774465,0,21819,Twitter for iPhone,This is a retweet,This is a retweet
818627210458333184,23166,7840,Twitter for iPhone,Original tweet,https://t.co/I7bkhxBxUG
818614493328580609,10187,2677,Twitter for iPhone,Original tweet,https://t.co/FOF0hBDxP8
818588835076603904,0,6387,Twitter for iPhone,This is a retweet,This is a retweet
818536468981415936,11305,2573,Twitter for iPhone,Original tweet,https://t.co/rAtJLcwXVk
818307523543449600,0,8449,Twitter for iPhone,This is a retweet,This is a retweet
818259473185828864,11407,2379,Twitter for iPhone,Original tweet,https://t.co/rnkvT2kvib
818145370475810820,12717,2683,Twitter for iPhone,Original tweet,https://t.co/JlPug12E5Z
817908911860748288,5027,832,Twitter for iPhone,Original tweet,https://t.co/bbuKxk0fM8
817827839487737858,53593,28191,Twitter for iPhone,Original tweet,https://t.co/q2BgNIi3OA
817777686764523521,11109,2809,Twitter for iPhone,Original tweet,https://t.co/X67OOW0q2I
817536400337801217,12210,3114,Twitter for iPhone,Original tweet,https://t.co/tFqQLwSBiH
817502432452313088,0,3527,Twitter for iPhone,This is a retweet,This is a retweet
817423860136083457,35200,15409,Twitter for iPhone,Original tweet,https://t.co/btzf1zTDeQ
817415592588222464,5806,999,Twitter for iPhone,Original tweet,https://t.co/dEyZso9D3z
817181837579653120,0,8829,Twitter for iPhone,This is a retweet,This is a retweet
817171292965273600,9060,2108,Twitter for iPhone,Original tweet,https://t.co/56uBP28eqw
817120970343411712,12644,2711,Twitter for iPhone,Original tweet,https://t.co/kCLgD8687T
817056546584727552,8888,1714,Twitter for iPhone,Original tweet,https://t.co/r6SLVN2VUH
816829038950027264,0,4907,Twitter for iPhone,This is a retweet,This is a retweet
816816676327063552,10380,2130,Twitter for iPhone,Original tweet,https://t.co/dVVavqpeF9
816697700272001025,10151,2283,Twitter for iPhone,Original tweet,https://t.co/WFt82XLyEF
816450570814898180,31649,8449,Twitter for iPhone,Original tweet,https://t.co/LIhmM7i70k
816336735214911488,8918,2031,Twitter for iPhone,Original tweet,https://t.co/nuJxtmlLcY
816091915477250048,9249,2231,Twitter for iPhone,Original tweet,https://t.co/tlfuZ25IMi
816062466425819140,0,1072,Twitter for iPhone,This is a retweet,This is a retweet
816014286006976512,0,5502,Twitter for iPhone,This is a retweet,This is a retweet
815990720817401858,5149,1072,Twitter for iPhone,Original tweet,https://t.co/bcVPkqufuu
815966073409433600,23243,8829,Twitter for iPhone,Original tweet,https://t.co/MiMKtsLN6k
815745968457060357,0,4319,Twitter for iPhone,This is a retweet,This is a retweet
